iter	Passed	Remaining
0	143	14246
1	145	7125
2	146	4740
3	147	3550
4	149	2833
5	150	2352
6	151	2012
7	152	1756
8	154	1557
9	155	1399
10	156	1268
11	158	1160
12	159	1067
13	160	987
14	161	917
15	162	854
16	163	800
17	164	751
18	166	708
19	167	668
20	168	632
21	169	599
22	170	569
23	171	542
24	172	517
25	173	493
26	174	472
27	175	451
28	176	432
29	178	415
30	179	399
31	180	383
32	181	369
33	183	356
34	185	343
35	186	331
36	187	319
37	189	308
38	190	297
39	191	287
40	192	277
41	194	268
42	195	258
43	196	250
44	198	243
45	200	235
46	201	227
47	202	219
48	203	212
49	204	204
50	205	197
51	206	190
52	207	184
53	208	177
54	209	171
55	210	165
56	211	159
57	213	154
58	214	148
59	215	143
60	216	138
61	217	133
62	218	128
63	220	123
64	221	119
65	223	115
66	224	110
67	226	106
68	227	102
69	228	97
70	229	93
71	231	89
72	232	86
73	233	82
74	234	78
75	236	74
76	237	71
77	238	67
78	239	63
79	240	60
80	241	56
81	243	53
82	244	50
83	245	46
84	246	43
85	247	40
86	248	37
87	249	34
88	251	31
89	252	28
90	253	25
91	254	22
92	254	19
93	255	16
94	256	13
95	257	10
96	258	7
97	259	5
98	260	2
99	261	0
