iter	Passed	Remaining
0	150	150729
1	152	76155
2	154	51377
3	155	38763
4	156	31205
5	157	26148
6	159	22584
7	161	19971
8	164	18107
9	166	16458
10	167	15048
11	168	13864
12	169	12857
13	170	11999
14	172	11329
15	179	11026
16	181	10472
17	182	9955
18	183	9498
19	185	9071
20	186	8684
21	187	8329
22	188	8003
23	193	7872
24	196	7650
25	197	7401
26	198	7162
27	199	6935
28	201	6731
29	202	6536
30	205	6437
31	210	6357
32	211	6200
33	212	6045
34	214	5906
35	215	5767
36	216	5631
37	217	5504
38	224	5529
39	225	5422
40	227	5319
41	228	5209
42	229	5103
43	230	5003
44	231	4906
45	232	4815
46	234	4745
47	236	4696
48	240	4668
49	241	4587
50	242	4515
51	243	4446
52	245	4382
53	246	4315
54	247	4257
55	249	4203
56	250	4150
57	253	4119
58	255	4069
59	256	4016
60	257	3963
61	258	3912
62	259	3862
63	260	3813
64	261	3765
65	263	3735
66	265	3701
67	267	3667
68	268	3625
69	270	3587
70	271	3547
71	272	3510
72	273	3474
73	275	3442
74	279	3442
75	280	3415
76	281	3379
77	283	3346
78	284	3311
79	285	3280
80	286	3252
81	287	3222
82	288	3186
83	290	3168
84	292	3150
85	293	3123
86	295	3096
87	295	3067
88	296	3037
89	297	3009
90	298	2981
91	299	2955
92	300	2929
93	301	2904
94	305	2910
95	306	2890
96	307	2866
97	308	2842
98	309	2818
99	310	2796
100	311	2773
101	312	2751
102	313	2728
103	314	2707
104	315	2689
105	317	2673
106	319	2663
107	320	2646
108	321	2630
109	322	2611
110	323	2593
111	324	2573
112	325	2553
113	326	2534
114	326	2515
115	327	2497
116	328	2477
117	329	2462
118	330	2448
119	332	2441
120	334	2429
121	335	2412
122	336	2399
123	337	2383
124	338	2367
125	339	2352
126	339	2335
127	340	2319
128	341	2304
129	342	2289
130	342	2274
131	343	2261
132	344	2246
133	345	2235
134	347	2225
135	348	2211
136	349	2198
137	349	2185
138	350	2171
139	351	2157
140	351	2143
141	352	2128
142	352	2115
143	353	2102
144	354	2089
145	355	2077
146	355	2064
147	356	2052
148	357	2040
149	357	2027
